xmin,ymin,xmax,ymax,class,file,width,height
1384,296,1460,362,missing_hole,01_missing_hole_13,3034,1586
1340,738,1397,802,missing_hole,01_missing_hole_13,3034,1586
708,620,768,683,missing_hole,01_missing_hole_13,3034,1586
2295,640,2359,712,missing_hole,01_missing_hole_14,3034,1586
159,751,220,812,missing_hole,01_missing_hole_14,3034,1586
864,623,917,680,missing_hole,01_missing_hole_14,3034,1586
2075,1034,2139,1087,missing_hole,01_missing_hole_15,3034,1586
2470,1105,2526,1158,missing_hole,01_missing_hole_15,3034,1586
2077,514,2135,572,missing_hole,01_missing_hole_15,3034,1586
1499,729,1559,794,missing_hole,01_missing_hole_16,3034,1586
644,720,702,783,missing_hole,01_missing_hole_16,3034,1586
2517,698,2584,763,missing_hole,01_missing_hole_16,3034,1586
917,292,984,369,missing_hole,01_missing_hole_17,3034,1586
480,1123,539,1191,missing_hole,01_missing_hole_17,3034,1586
1725,1083,1790,1147,missing_hole,01_missing_hole_17,3034,1586
2188,914,2250,980,missing_hole,01_missing_hole_18,3034,1586
1160,1200,1220,1254,missing_hole,01_missing_hole_18,3034,1586
1731,1151,1791,1203,missing_hole,01_missing_hole_18,3034,1586
1395,738,1450,803,missing_hole,01_missing_hole_19,3034,1586
339,752,388,814,missing_hole,01_missing_hole_19,3034,1586
168,572,228,638,missing_hole,01_missing_hole_19,3034,1586
2635,1102,2695,1160,missing_hole,01_missing_hole_20,3034,1586
228,574,275,629,missing_hole,01_missing_hole_20,3034,1586
2528,227,2588,302,missing_hole,01_missing_hole_20,3034,1586
2139,753,2189,824,missing_hole,04_missing_hole_01,3056,2464
2117,1590,2171,1646,missing_hole,04_missing_hole_01,3056,2464
1401,955,1464,1033,missing_hole,04_missing_hole_01,3056,2464
1877,757,1930,815,missing_hole,04_missing_hole_02,3056,2464
997,759,1055,817,missing_hole,04_missing_hole_02,3056,2464
1228,1771,1284,1841,missing_hole,04_missing_hole_02,3056,2464
2474,1581,2547,1650,missing_hole,04_missing_hole_03,3056,2464
1279,1295,1351,1381,missing_hole,04_missing_hole_03,3056,2464
711,1626,775,1713,missing_hole,04_missing_hole_03,3056,2464
2113,1473,2186,1537,missing_hole,04_missing_hole_04,3056,2464
2570,1366,2646,1457,missing_hole,04_missing_hole_04,3056,2464
2564,946,2621,1019,missing_hole,04_missing_hole_04,3056,2464
1344,1093,1395,1151,missing_hole,04_missing_hole_05,3056,2464
1817,859,1882,922,missing_hole,04_missing_hole_05,3056,2464
1888,357,1946,417,missing_hole,04_missing_hole_05,3056,2464
1173,621,1231,695,missing_hole,04_missing_hole_06,3056,2464
1461,377,1519,442,missing_hole,04_missing_hole_06,3056,2464
2171,341,2239,419,missing_hole,04_missing_hole_06,3056,2464
1744,964,1811,1031,missing_hole,04_missing_hole_07,3056,2464
1939,346,2011,419,missing_hole,04_missing_hole_07,3056,2464
2617,339,2684,424,missing_hole,04_missing_hole_07,3056,2464
1967,1177,2047,1253,missing_hole,04_missing_hole_08,3056,2464
1344,1430,1402,1502,missing_hole,04_missing_hole_08,3056,2464
1742,1428,1806,1504,missing_hole,04_missing_hole_08,3056,2464
2488,1246,2581,1344,missing_hole,04_missing_hole_09,3056,2464
1175,1308,1230,1381,missing_hole,04_missing_hole_09,3056,2464
715,1404,768,1481,missing_hole,04_missing_hole_09,3056,2464
1122,844,1166,904,missing_hole,04_missing_hole_10,3056,2464
1288,375,1341,439,missing_hole,04_missing_hole_10,3056,2464
662,504,715,566,missing_hole,04_missing_hole_10,3056,2464
1284,953,1350,1028,missing_hole,04_missing_hole_11,3056,2464
1399,82,1461,137,missing_hole,04_missing_hole_11,3056,2464
1391,251,1464,306,missing_hole,04_missing_hole_11,3056,2464
1650,750,1721,826,missing_hole,04_missing_hole_12,3056,2464
326,802,402,864,missing_hole,04_missing_hole_12,3056,2464
177,1144,250,1213,missing_hole,04_missing_hole_12,3056,2464
711,1922,773,1986,missing_hole,04_missing_hole_13,3056,2464
659,1410,713,1473,missing_hole,04_missing_hole_13,3056,2464
177,453,255,524,missing_hole,04_missing_hole_13,3056,2464
1121,1924,1173,1988,missing_hole,04_missing_hole_14,3056,2464
891,1404,944,1475,missing_hole,04_missing_hole_14,3056,2464
337,1142,393,1208,missing_hole,04_missing_hole_14,3056,2464
1286,1541,1348,1597,missing_hole,04_missing_hole_15,3056,2464
1688,1653,1748,1715,missing_hole,04_missing_hole_15,3056,2464
657,957,715,1039,missing_hole,04_missing_hole_15,3056,2464
1177,762,1230,815,missing_hole,04_missing_hole_16,3056,2464
1231,1537,1288,1599,missing_hole,04_missing_hole_16,3056,2464
830,502,886,566,missing_hole,04_missing_hole_16,3056,2464
1348,1304,1401,1373,missing_hole,04_missing_hole_17,3056,2464
651,1410,715,1468,missing_hole,04_missing_hole_17,3056,2464
1515,1655,1575,1715,missing_hole,04_missing_hole_17,3056,2464
1342,1431,1401,1502,missing_hole,04_missing_hole_18,3056,2464
882,957,944,1028,missing_hole,04_missing_hole_18,3056,2464
1284,1777,1344,1844,missing_hole,04_missing_hole_18,3056,2464
1288,1535,1341,1601,missing_hole,04_missing_hole_19,3056,2464
1517,1648,1571,1715,missing_hole,04_missing_hole_19,3056,2464
2110,1591,2173,1650,missing_hole,04_missing_hole_19,3056,2464
1635,1430,1688,1502,missing_hole,04_missing_hole_20,3056,2464
1053,1410,1106,1471,missing_hole,04_missing_hole_20,3056,2464
2110,1471,2177,1537,missing_hole,04_missing_hole_20,3056,2464
1103,567,1174,623,missing_hole,05_missing_hole_01,2544,2156
1520,965,1569,1026,missing_hole,05_missing_hole_01,2544,2156
1337,1660,1387,1715,missing_hole,05_missing_hole_01,2544,2156
1931,546,1994,612,missing_hole,05_missing_hole_02,2544,2156
1836,1092,1886,1149,missing_hole,05_missing_hole_02,2544,2156
1058,370,1114,429,missing_hole,05_missing_hole_02,2544,2156
1118,243,1179,309,missing_hole,05_missing_hole_03,2544,2156
2050,820,2089,874,missing_hole,05_missing_hole_03,2544,2156
1102,1023,1175,1079,missing_hole,05_missing_hole_03,2544,2156
220,737,286,798,missing_hole,05_missing_hole_03,2544,2156
1450,1318,1514,1376,missing_hole,05_missing_hole_03,2544,2156
1102,624,1170,685,missing_hole,05_missing_hole_04,2544,2156
375,1018,445,1088,missing_hole,05_missing_hole_04,2544,2156
909,1767,977,1829,missing_hole,05_missing_hole_04,2544,2156
1835,1096,1885,1149,missing_hole,05_missing_hole_04,2544,2156
1450,796,1520,857,missing_hole,05_missing_hole_04,2544,2156
1831,1270,1895,1323,missing_hole,05_missing_hole_05,2544,2156
1450,1137,1511,1193,missing_hole,05_missing_hole_05,2544,2156
1489,1788,1540,1857,missing_hole,05_missing_hole_05,2544,2156
2031,1881,2094,1946,missing_hole,05_missing_hole_05,2544,2156
2189,1585,2247,1645,missing_hole,05_missing_hole_05,2544,2156
1670,1071,1724,1124,missing_hole,05_missing_hole_06,2544,2156
1103,1479,1163,1543,missing_hole,05_missing_hole_06,2544,2156
219,1020,281,1084,missing_hole,05_missing_hole_06,2544,2156
1561,146,1625,206,missing_hole,05_missing_hole_06,2544,2156
2274,1692,2325,1743,missing_hole,05_missing_hole_06,2544,2156
1110,621,1163,678,missing_hole,05_missing_hole_07,2544,2156
1374,352,1444,415,missing_hole,05_missing_hole_07,2544,2156
1852,315,1917,387,missing_hole,05_missing_hole_07,2544,2156
2028,187,2103,259,missing_hole,05_missing_hole_07,2544,2156
1036,1249,1091,1315,missing_hole,05_missing_hole_07,2544,2156
1722,1074,1777,1123,missing_hole,05_missing_hole_08,2544,2156
1981,813,2041,873,missing_hole,05_missing_hole_08,2544,2156
1539,1465,1603,1515,missing_hole,05_missing_hole_08,2544,2156
2061,1265,2120,1323,missing_hole,05_missing_hole_08,2544,2156
1652,798,1709,849,missing_hole,05_missing_hole_08,2544,2156
1603,1792,1659,1849,missing_hole,05_missing_hole_09,2544,2156
2302,1585,2364,1645,missing_hole,05_missing_hole_09,2544,2156
1085,1803,1144,1860,missing_hole,05_missing_hole_09,2544,2156
1309,1956,1380,2027,missing_hole,05_missing_hole_09,2544,2156
223,1763,287,1834,missing_hole,05_missing_hole_09,2544,2156
1905,1415,1963,1478,missing_hole,05_missing_hole_10,2544,2156
1452,1428,1513,1482,missing_hole,05_missing_hole_10,2544,2156
1103,1367,1169,1431,missing_hole,05_missing_hole_10,2544,2156
367,217,441,281,missing_hole,05_missing_hole_10,2544,2156
216,623,286,682,missing_hole,05_missing_hole_10,2544,2156
1443,854,1494,902,missing_hole,06_missing_hole_01,2868,2316
1332,1151,1382,1212,missing_hole,06_missing_hole_01,2868,2316
1786,1374,1837,1427,missing_hole,06_missing_hole_01,2868,2316
1062,1415,1127,1470,missing_hole,06_missing_hole_01,2868,2316
584,1229,635,1275,missing_hole,06_missing_hole_01,2868,2316
1615,973,1674,1036,missing_hole,06_missing_hole_02,2868,2316
2104,1659,2181,1731,missing_hole,06_missing_hole_02,2868,2316
2428,1317,2489,1380,missing_hole,06_missing_hole_02,2868,2316
238,1674,318,1739,missing_hole,06_missing_hole_02,2868,2316
1155,1814,1213,1871,missing_hole,06_missing_hole_02,2868,2316
1528,395,1588,446,missing_hole,06_missing_hole_03,2868,2316
710,768,799,841,missing_hole,06_missing_hole_03,2868,2316
1093,976,1155,1044,missing_hole,06_missing_hole_03,2868,2316
242,897,306,959,missing_hole,06_missing_hole_03,2868,2316
603,203,652,247,missing_hole,06_missing_hole_03,2868,2316
921,542,967,592,missing_hole,06_missing_hole_04,2868,2316
725,924,788,976,missing_hole,06_missing_hole_04,2868,2316
316,1485,381,1544,missing_hole,06_missing_hole_04,2868,2316
1155,1473,1213,1529,missing_hole,06_missing_hole_04,2868,2316
1350,1956,1401,2007,missing_hole,06_missing_hole_04,2868,2316
1276,725,1345,788,missing_hole,06_missing_hole_05,2868,2316
808,1156,864,1207,missing_hole,06_missing_hole_05,2868,2316
1215,1154,1265,1210,missing_hole,06_missing_hole_05,2868,2316
2213,1283,2274,1342,missing_hole,06_missing_hole_05,2868,2316
1676,1815,1733,1878,missing_hole,06_missing_hole_05,2868,2316
806,541,860,590,missing_hole,06_missing_hole_06,2868,2316
2213,1375,2284,1439,missing_hole,06_missing_hole_06,2868,2316
588,1292,638,1349,missing_hole,06_missing_hole_06,2868,2316
1620,1322,1667,1383,missing_hole,06_missing_hole_06,2868,2316
238,897,311,961,missing_hole,06_missing_hole_06,2868,2316
1067,1939,1132,2005,missing_hole,06_missing_hole_06,2868,2316
1276,725,1342,781,missing_hole,06_missing_hole_07,2868,2316
1159,1815,1218,1876,missing_hole,06_missing_hole_07,2868,2316
2206,1285,2277,1342,missing_hole,06_missing_hole_07,2868,2316
1154,1154,1211,1212,missing_hole,06_missing_hole_07,2868,2316
1603,1149,1673,1217,missing_hole,06_missing_hole_07,2868,2316
1442,1149,1498,1205,missing_hole,06_missing_hole_08,2868,2316
1093,1149,1159,1212,missing_hole,06_missing_hole_08,2868,2316
1010,849,1074,915,missing_hole,06_missing_hole_08,2868,2316
857,197,913,253,missing_hole,06_missing_hole_08,2868,2316
243,1164,315,1222,missing_hole,06_missing_hole_08,2868,2316
1160,722,1232,783,missing_hole,06_missing_hole_09,2868,2316
1735,615,1804,678,missing_hole,06_missing_hole_09,2868,2316
1094,1149,1150,1203,missing_hole,06_missing_hole_09,2868,2316
1665,1320,1732,1381,missing_hole,06_missing_hole_09,2868,2316
2213,1500,2276,1561,missing_hole,06_missing_hole_09,2868,2316
1280,723,1342,790,missing_hole,06_missing_hole_10,2868,2316
840,683,904,742,missing_hole,06_missing_hole_10,2868,2316
1093,978,1157,1044,missing_hole,06_missing_hole_10,2868,2316
1043,1471,1098,1532,missing_hole,06_missing_hole_10,2868,2316
2184,2046,2240,2103,missing_hole,06_missing_hole_10,2868,2316
1244,727,1317,807,missing_hole,07_missing_hole_01,2904,1921
1692,1034,1763,1113,missing_hole,07_missing_hole_01,2904,1921
2170,1029,2261,1127,missing_hole,07_missing_hole_01,2904,1921
2441,777,2537,855,missing_hole,07_missing_hole_01,2904,1921
570,301,649,386,missing_hole,07_missing_hole_01,2904,1921
1118,200,1191,265,missing_hole,07_missing_hole_02,2904,1921
1703,338,1784,405,missing_hole,07_missing_hole_02,2904,1921
1203,1032,1270,1119,missing_hole,07_missing_hole_02,2904,1921
284,1070,403,1184,missing_hole,07_missing_hole_02,2904,1921
1548,1446,1617,1548,missing_hole,07_missing_hole_02,2904,1921
1687,517,1770,603,missing_hole,07_missing_hole_03,2904,1921
1856,287,1940,357,missing_hole,07_missing_hole_03,2904,1921
1089,755,1167,829,missing_hole,07_missing_hole_03,2904,1921
846,1027,927,1117,missing_hole,07_missing_hole_03,2904,1921
2106,1029,2180,1127,missing_hole,07_missing_hole_03,2904,1921
2032,510,2111,601,missing_hole,07_missing_hole_04,2904,1921
2680,351,2756,438,missing_hole,07_missing_hole_04,2904,1921
2667,770,2758,863,missing_hole,07_missing_hole_04,2904,1921
1539,1034,1629,1124,missing_hole,07_missing_hole_04,2904,1921
920,1024,998,1119,missing_hole,07_missing_hole_04,2904,1921
1305,513,1387,600,missing_hole,07_missing_hole_05,2904,1921
875,758,953,831,missing_hole,07_missing_hole_05,2904,1921
1241,722,1311,807,missing_hole,07_missing_hole_05,2904,1921
565,299,653,390,missing_hole,07_missing_hole_05,2904,1921
432,551,511,639,missing_hole,07_missing_hole_05,2904,1921
951,294,1018,363,missing_hole,07_missing_hole_06,2904,1921
1232,508,1317,598,missing_hole,07_missing_hole_06,2904,1921
1696,329,1791,417,missing_hole,07_missing_hole_06,2904,1921
1332,1027,1411,1127,missing_hole,07_missing_hole_06,2904,1921
1537,1441,1630,1546,missing_hole,07_missing_hole_06,2904,1921
423,300,517,389,missing_hole,07_missing_hole_07,2904,1921
563,688,655,777,missing_hole,07_missing_hole_07,2904,1921
137,1153,273,1269,missing_hole,07_missing_hole_07,2904,1921
2110,726,2187,813,missing_hole,07_missing_hole_07,2904,1921
1851,358,1939,455,missing_hole,07_missing_hole_07,2904,1921
1237,717,1320,808,missing_hole,07_missing_hole_08,2904,1921
949,758,1022,829,missing_hole,07_missing_hole_08,2904,1921
1339,1031,1417,1117,missing_hole,07_missing_hole_08,2904,1921
2034,515,2113,601,missing_hole,07_missing_hole_08,2904,1921
2451,357,2527,439,missing_hole,07_missing_hole_08,2904,1921
1642,434,1727,508,missing_hole,07_missing_hole_09,2904,1921
851,1024,927,1112,missing_hole,07_missing_hole_09,2904,1921
1130,1029,1205,1117,missing_hole,07_missing_hole_09,2904,1921
2172,1446,2255,1544,missing_hole,07_missing_hole_09,2904,1921
1403,1446,1486,1536,missing_hole,07_missing_hole_09,2904,1921
2048,291,2134,374,missing_hole,07_missing_hole_10,2904,1921
2046,736,2113,791,missing_hole,07_missing_hole_10,2904,1921
1377,519,1456,594,missing_hole,07_missing_hole_10,2904,1921
737,553,844,641,missing_hole,07_missing_hole_10,2904,1921
423,544,513,638,missing_hole,07_missing_hole_10,2904,1921
2325,1193,2378,1252,missing_hole,08_missing_hole_01,2759,2154
1996,1603,2061,1670,missing_hole,08_missing_hole_01,2759,2154
1169,1734,1233,1805,missing_hole,08_missing_hole_01,2759,2154
1245,746,1310,808,missing_hole,08_missing_hole_01,2759,2154
546,1441,610,1510,missing_hole,08_missing_hole_01,2759,2154
2133,944,2197,1008,missing_hole,08_missing_hole_02,2759,2154
2319,1328,2378,1392,missing_hole,08_missing_hole_02,2759,2154
964,747,1028,805,missing_hole,08_missing_hole_02,2759,2154
1823,1561,1891,1631,missing_hole,08_missing_hole_02,2759,2154
1035,1441,1100,1515,missing_hole,08_missing_hole_02,2759,2154
2459,1156,2523,1223,missing_hole,08_missing_hole_03,2759,2154
819,1438,894,1525,missing_hole,08_missing_hole_03,2759,2154
682,1731,748,1797,missing_hole,08_missing_hole_03,2759,2154
1381,1738,1450,1798,missing_hole,08_missing_hole_03,2759,2154
1382,1444,1440,1510,missing_hole,08_missing_hole_03,2759,2154
1037,1036,1099,1088,missing_hole,08_missing_hole_04,2759,2154
1730,1039,1796,1098,missing_hole,08_missing_hole_04,2759,2154
378,467,441,531,missing_hole,08_missing_hole_04,2759,2154
155,977,212,1039,missing_hole,08_missing_hole_04,2759,2154
1176,1444,1241,1516,missing_hole,08_missing_hole_05,2759,2154
966,741,1037,813,missing_hole,08_missing_hole_05,2759,2154
159,982,214,1031,missing_hole,08_missing_hole_05,2759,2154
2002,405,2064,462,missing_hole,08_missing_hole_05,2759,2154
238,634,304,692,missing_hole,08_missing_hole_05,2759,2154
1387,1030,1448,1097,missing_hole,08_missing_hole_06,2759,2154
2004,1608,2061,1666,missing_hole,08_missing_hole_06,2759,2154
1100,1451,1169,1513,missing_hole,08_missing_hole_06,2759,2154
1878,751,1937,810,missing_hole,08_missing_hole_06,2759,2154
1727,2000,1792,2067,missing_hole,08_missing_hole_06,2759,2154
1876,1036,1941,1098,missing_hole,08_missing_hole_07,2759,2154
2128,941,2200,1020,missing_hole,08_missing_hole_07,2759,2154
368,1931,438,2002,missing_hole,08_missing_hole_07,2759,2154
145,1118,220,1187,missing_hole,08_missing_hole_07,2759,2154
546,739,614,811,missing_hole,08_missing_hole_07,2759,2154
1304,1444,1381,1518,missing_hole,08_missing_hole_08,2759,2154
2312,1051,2384,1116,missing_hole,08_missing_hole_08,2759,2154
2609,1220,2668,1275,missing_hole,08_missing_hole_08,2759,2154
2123,1425,2192,1497,missing_hole,08_missing_hole_08,2759,2154
617,744,681,805,missing_hole,08_missing_hole_08,2759,2154
966,746,1030,806,missing_hole,08_missing_hole_09,2759,2154
823,1034,889,1098,missing_hole,08_missing_hole_09,2759,2154
1658,1449,1725,1520,missing_hole,08_missing_hole_09,2759,2154
1997,1606,2061,1664,missing_hole,08_missing_hole_09,2759,2154
1720,544,1786,605,missing_hole,08_missing_hole_09,2759,2154
1876,1036,1938,1092,missing_hole,08_missing_hole_10,2759,2154
822,1444,886,1513,missing_hole,08_missing_hole_10,2759,2154
238,633,304,687,missing_hole,08_missing_hole_10,2759,2154
2291,1639,2345,1702,missing_hole,08_missing_hole_10,2759,2154
1948,1382,1989,1423,missing_hole,08_missing_hole_10,2759,2154
2025,499,2086,564,missing_hole,09_missing_hole_01,2775,2159
2336,987,2399,1043,missing_hole,09_missing_hole_01,2775,2159
2231,1877,2307,1945,missing_hole,09_missing_hole_01,2775,2159
1186,1700,1240,1753,missing_hole,09_missing_hole_01,2775,2159
1122,1059,1187,1122,missing_hole,09_missing_hole_01,2775,2159
777,640,836,704,missing_hole,09_missing_hole_02,2775,2159
1195,643,1258,708,missing_hole,09_missing_hole_02,2775,2159
387,1446,453,1508,missing_hole,09_missing_hole_02,2775,2159
2467,1551,2536,1622,missing_hole,09_missing_hole_02,2775,2159
912,353,981,413,missing_hole,09_missing_hole_02,2775,2159
1543,358,1612,422,missing_hole,09_missing_hole_03,2775,2159
1897,646,1961,720,missing_hole,09_missing_hole_03,2775,2159
563,1058,630,1118,missing_hole,09_missing_hole_03,2775,2159
199,638,276,704,missing_hole,09_missing_hole_03,2775,2159
1833,97,1900,158,missing_hole,09_missing_hole_03,2775,2159
1120,356,1194,413,missing_hole,09_missing_hole_04,2775,2159
567,1058,625,1118,missing_hole,09_missing_hole_04,2775,2159
845,1340,904,1408,missing_hole,09_missing_hole_04,2775,2159
2148,1154,2212,1223,missing_hole,09_missing_hole_04,2775,2159
2151,674,2215,740,missing_hole,09_missing_hole_04,2775,2159
1328,1059,1395,1125,missing_hole,09_missing_hole_04,2775,2159
1264,645,1325,697,missing_hole,09_missing_hole_05,2775,2159
202,710,266,768,missing_hole,09_missing_hole_05,2775,2159
2625,754,2689,818,missing_hole,09_missing_hole_05,2775,2159
2025,504,2079,556,missing_hole,09_missing_hole_05,2775,2159
1733,1556,1790,1612,missing_hole,09_missing_hole_05,2775,2159
1413,648,1463,699,missing_hole,09_missing_hole_06,2775,2159
1712,540,1772,599,missing_hole,09_missing_hole_06,2775,2159
2335,771,2413,838,missing_hole,09_missing_hole_06,2775,2159
1182,1545,1243,1605,missing_hole,09_missing_hole_06,2775,2159
561,1059,631,1120,missing_hole,09_missing_hole_06,2775,2159
256,1449,315,1505,missing_hole,09_missing_hole_06,2775,2159
200,572,266,627,missing_hole,09_missing_hole_07,2775,2159
1474,1059,1531,1122,missing_hole,09_missing_hole_07,2775,2159
2472,881,2543,941,missing_hole,09_missing_hole_07,2775,2159
1610,643,1677,713,missing_hole,09_missing_hole_07,2775,2159
846,1343,902,1400,missing_hole,09_missing_hole_07,2775,2159
2187,100,2245,163,missing_hole,09_missing_hole_07,2775,2159
638,353,700,410,missing_hole,09_missing_hole_08,2775,2159
176,1107,233,1166,missing_hole,09_missing_hole_08,2775,2159
1266,1063,1323,1122,missing_hole,09_missing_hole_08,2775,2159
256,1449,308,1510,missing_hole,09_missing_hole_08,2775,2159
2481,676,2540,731,missing_hole,09_missing_hole_08,2775,2159
2631,966,2686,1025,missing_hole,09_missing_hole_09,2775,2159
2467,1553,2528,1612,missing_hole,09_missing_hole_09,2775,2159
1536,1350,1610,1410,missing_hole,09_missing_hole_09,2775,2159
772,1054,835,1117,missing_hole,09_missing_hole_09,2775,2159
1197,643,1256,703,missing_hole,09_missing_hole_09,2775,2159
1194,643,1256,707,missing_hole,09_missing_hole_10,2775,2159
1545,356,1613,425,missing_hole,09_missing_hole_10,2775,2159
1333,1061,1394,1125,missing_hole,09_missing_hole_10,2775,2159
2007,1551,2072,1615,missing_hole,09_missing_hole_10,2775,2159
566,636,628,705,missing_hole,09_missing_hole_10,2775,2159
1346,677,1479,789,missing_hole,10_missing_hole_01,2240,2016
1907,490,1982,571,missing_hole,10_missing_hole_01,2240,2016
1963,651,2053,727,missing_hole,10_missing_hole_01,2240,2016
1794,1144,1891,1234,missing_hole,10_missing_hole_01,2240,2016
1017,1270,1111,1350,missing_hole,10_missing_hole_01,2240,2016
945,692,1052,780,missing_hole,10_missing_hole_02,2240,2016
588,783,717,892,missing_hole,10_missing_hole_02,2240,2016
908,1085,1003,1164,missing_hole,10_missing_hole_02,2240,2016
1419,1113,1491,1174,missing_hole,10_missing_hole_02,2240,2016
2014,1351,2085,1431,missing_hole,10_missing_hole_02,2240,2016
1301,335,1363,399,missing_hole,10_missing_hole_03,2240,2016
1521,786,1592,854,missing_hole,10_missing_hole_03,2240,2016
1420,1112,1488,1179,missing_hole,10_missing_hole_03,2240,2016
1062,1428,1158,1516,missing_hole,10_missing_hole_03,2240,2016
1340,1482,1408,1551,missing_hole,10_missing_hole_03,2240,2016
720,971,843,1106,missing_hole,10_missing_hole_04,2240,2016
1340,1480,1407,1547,missing_hole,10_missing_hole_04,2240,2016
1659,1164,1743,1258,missing_hole,10_missing_hole_04,2240,2016
2013,944,2088,1021,missing_hole,10_missing_hole_04,2240,2016
1911,1567,1988,1635,missing_hole,10_missing_hole_04,2240,2016
1062,508,1153,592,missing_hole,10_missing_hole_05,2240,2016
1632,258,1727,348,missing_hole,10_missing_hole_05,2240,2016
940,692,1062,783,missing_hole,10_missing_hole_05,2240,2016
1330,1637,1414,1715,missing_hole,10_missing_hole_05,2240,2016
110,1796,223,1913,missing_hole,10_missing_hole_05,2240,2016
757,439,829,526,missing_hole,11_missing_hole_01,2282,2248
1227,596,1306,673,missing_hole,11_missing_hole_01,2282,2248
1425,773,1512,862,missing_hole,11_missing_hole_01,2282,2248
1437,1267,1507,1360,missing_hole,11_missing_hole_01,2282,2248
1196,1747,1275,1832,missing_hole,11_missing_hole_01,2282,2248
1158,222,1255,314,missing_hole,11_missing_hole_02,2282,2248
1025,960,1096,1055,missing_hole,11_missing_hole_02,2282,2248
1434,1260,1507,1363,missing_hole,11_missing_hole_02,2282,2248
512,1265,586,1357,missing_hole,11_missing_hole_02,2282,2248
1594,1862,1668,1958,missing_hole,11_missing_hole_02,2282,2248
1420,447,1517,539,missing_hole,11_missing_hole_03,2282,2248
953,747,1045,829,missing_hole,11_missing_hole_03,2282,2248
294,740,389,824,missing_hole,11_missing_hole_03,2282,2248
717,970,778,1044,missing_hole,11_missing_hole_03,2282,2248
619,1442,681,1526,missing_hole,11_missing_hole_03,2282,2248
411,747,476,813,missing_hole,11_missing_hole_04,2282,2248
1553,683,1639,758,missing_hole,11_missing_hole_04,2282,2248
1420,1467,1502,1553,missing_hole,11_missing_hole_04,2282,2248
863,1747,935,1839,missing_hole,11_missing_hole_04,2282,2248
116,1776,255,1916,missing_hole,11_missing_hole_04,2282,2248
1755,1749,1834,1842,missing_hole,11_missing_hole_05,2282,2248
1417,1744,1499,1832,missing_hole,11_missing_hole_05,2282,2248
2022,1806,2122,1899,missing_hole,11_missing_hole_05,2282,2248
861,1749,939,1837,missing_hole,11_missing_hole_05,2282,2248
1145,1868,1217,1952,missing_hole,11_missing_hole_05,2282,2248
1076,862,1150,940,missing_hole,11_missing_hole_06,2282,2248
1161,729,1242,826,missing_hole,11_missing_hole_06,2282,2248
1507,868,1586,947,missing_hole,11_missing_hole_06,2282,2248
819,1268,896,1360,missing_hole,11_missing_hole_06,2282,2248
527,1752,611,1837,missing_hole,11_missing_hole_06,2282,2248
1170,737,1240,817,missing_hole,11_missing_hole_07,2282,2248
1330,968,1407,1049,missing_hole,11_missing_hole_07,2282,2248
512,962,591,1039,missing_hole,11_missing_hole_07,2282,2248
714,1885,761,1931,missing_hole,11_missing_hole_07,2282,2248
